force,pressure,position,setpoint,control,temp1,temp2,temp3,temp4,time_
84.17,3.14,-0.0003,184.66,184.66,10.3125,10.938,9.438,8.812,0.0
84.31,3.15,0.00099,184.68,184.68,10.3125,10.938,9.438,8.812,0.02724
83.8,3.13,0.00103,184.7,184.7,10.3125,11.312,9.438,8.812,0.05447
84.17,3.14,-0.00437,184.72,184.72,10.3125,11.312,9.438,8.812,0.08169
83.18,3.1,0.00099,184.74,184.74,10.3125,11.312,9.438,8.812,0.10892
84.68,3.16,0.00095,184.76,184.76,10.3125,11.312,9.375,8.812,0.13615
84.17,3.14,0.00141,184.78,184.78,10.3125,11.312,9.375,8.812,0.16338
83.69,3.12,0.00103,184.8,184.8,10.3125,11.312,9.375,8.812,0.19061
83.42,3.11,0.00099,184.82,184.82,10.3125,11.312,9.375,8.812,0.21784
84.68,3.16,0.00103,184.84,184.84,10.3125,11.312,9.375,8.812,0.24506
84.44,3.15,0.00099,184.86,184.86,10.3125,11.312,9.375,8.812,0.27229
84.55,3.16,-8e-05,184.88,184.88,10.3125,11.312,9.375,8.812,0.29952
84.68,3.16,0.00099,184.9,184.9,10.25,11.312,9.375,8.812,0.32675
85.43,3.19,0.00099,184.92,184.92,10.25,11.312,9.375,8.812,0.35398
83.42,3.11,-0.00034,184.94,184.94,10.25,11.312,9.375,8.812,0.38121
85.57,3.19,0.00099,184.96,184.96,10.25,11.312,9.375,8.812,0.40843
84.55,3.16,0.00099,184.98,184.98,10.25,11.312,9.375,8.812,0.43566
85.19,3.18,0.00053,185.0,185.0,10.25,11.312,9.375,8.812,0.46289
84.82,3.17,0.00095,185.02,185.02,10.25,11.312,9.375,8.812,0.49012
85.94,3.21,0.00129,185.04,185.04,10.25,11.312,9.375,8.812,0.51734
85.57,3.19,0.00099,185.06,185.06,10.25,11.312,9.375,8.812,0.54457
86.05,3.21,0.00095,185.08,185.08,10.25,11.312,9.375,8.812,0.5718
86.05,3.21,-0.00624,185.1,185.1,10.25,11.312,9.375,8.812,0.59903
87.17,3.25,0.00099,185.12,185.12,10.25,11.312,9.375,8.812,0.62625
86.69,3.24,0.00099,185.14,185.14,10.25,11.312,9.375,8.812,0.65348
87.07,3.25,0.00057,185.16,185.16,10.25,11.312,9.375,8.812,0.68071
87.68,3.27,0.00099,185.18,185.18,10.25,11.25,9.375,8.812,0.70794
87.07,3.25,0.00095,185.2,185.2,10.25,11.25,9.375,8.812,0.73517
88.3,3.3,0.00118,185.22,185.22,10.25,11.25,9.375,9.188,0.76239
88.57,3.31,0.00099,185.24,185.24,10.25,11.25,9.5,9.188,0.78962
88.67,3.31,-0.00027,185.26,185.26,10.25,11.25,9.5,9.188,0.81685
88.57,3.31,0.00099,185.28,185.28,10.25,11.25,9.5,9.188,0.84408
89.43,3.34,0.00103,185.3,185.3,10.25,11.25,9.5,9.188,0.8713
89.67,3.35,-0.00186,185.32,185.32,10.25,11.25,9.5,9.188,0.89853
89.8,3.35,0.00099,185.34,185.34,10.25,11.25,9.5,9.188,0.92576
89.8,3.35,0.00099,185.36,185.36,10.25,11.25,9.5,9.188,0.95299
91.43,3.41,0.00042,185.38,185.38,10.25,11.25,9.5,9.188,0.98022
90.04,3.36,0.00095,185.4,185.4,10.25,11.25,9.5,9.188,1.00744
90.79,3.39,0.00091,185.42,185.42,10.25,11.25,9.5,9.188,1.03467
91.06,3.4,0.00099,185.44,185.44,10.25,11.25,9.5,9.188,1.0619
91.43,3.41,0.00099,185.46,185.46,10.25,11.25,9.5,8.875,1.08913
90.68,3.38,0.00053,185.48,185.48,10.25,11.25,9.375,8.875,1.11635
92.29,3.44,0.00099,185.5,185.5,10.25,11.25,9.375,8.875,1.14358
91.92,3.43,0.00099,185.52,185.52,10.25,11.25,9.375,8.875,1.17081
93.79,3.5,-0.0016,185.54,185.54,10.25,11.25,9.375,8.875,1.19804
92.29,3.44,0.00099,185.56,185.56,10.25,11.25,9.375,8.875,1.22527
93.42,3.49,0.00091,185.58,185.58,10.25,11.25,9.375,8.875,1.25249
93.31,3.48,0.00053,185.6,185.6,10.25,11.25,9.375,8.875,1.27972
93.55,3.49,0.00103,185.62,185.62,10.25,11.25,9.375,8.875,1.30695
93.68,3.5,0.00038,185.64,185.64,10.25,11.25,9.375,8.875,1.33418
93.79,3.5,0.00091,185.66,185.66,10.25,10.938,9.375,8.875,1.3614
93.79,3.5,0.00095,185.68,185.68,10.25,10.938,9.375,8.875,1.38863
95.29,3.56,-0.00122,185.7,185.7,10.25,10.938,9.375,8.875,1.41586
94.81,3.54,0.00103,185.72,185.72,10.25,10.938,9.438,8.875,1.44309
94.68,3.53,0.00103,185.74,185.74,10.25,10.938,9.438,8.875,1.47031
94.92,3.54,-0.00076,185.76,185.76,10.25,10.938,9.438,8.875,1.49754
96.31,3.6,0.00103,185.78,185.78,10.25,10.938,9.438,8.875,1.52477
95.67,3.57,0.00095,185.8,185.8,10.25,10.938,9.438,8.875,1.552
95.93,3.58,0.00103,185.82,185.82,10.25,10.938,9.438,8.875,1.57923
96.79,3.61,0.00091,185.84,185.84,10.25,10.938,9.438,8.875,1.60645
95.8,3.58,0.00087,185.86,185.86,10.25,10.938,9.438,8.875,1.63368
97.17,3.63,0.00095,185.88,185.88,10.25,10.938,9.438,8.875,1.66091
97.68,3.65,0.00095,185.9,185.9,10.25,11.25,9.438,8.875,1.68814
98.05,3.66,-0.00882,185.92,185.92,10.25,11.25,9.438,8.875,1.71536
97.3,3.63,0.00099,185.94,185.94,10.25,11.25,9.438,8.812,1.74259
98.67,3.68,0.00095,185.96,185.96,10.25,11.25,9.438,8.812,1.76982
98.8,3.69,0.00038,185.98,185.98,10.25,11.25,9.438,8.812,1.79705
98.56,3.68,0.00091,186.0,186.0,10.25,11.25,9.438,8.812,1.82428
98.43,3.67,0.00095,186.02,186.02,10.25,11.25,9.438,8.812,1.8515
100.06,3.73,0.00099,186.04,186.04,10.25,11.25,9.438,8.812,1.87873
98.8,3.69,0.00095,186.06,186.06,10.25,11.25,9.438,8.812,1.90596
99.93,3.73,0.00046,186.08,186.08,10.25,11.25,9.438,8.812,1.93319
100.17,3.74,0.00095,186.1,186.1,10.25,11.25,9.438,8.812,1.96041
101.29,3.78,0.00095,186.12,186.12,10.3125,11.25,9.438,8.812,1.98764
99.69,3.72,-0.00106,186.14,186.14,10.3125,11.312,9.438,8.812,2.01487
101.43,3.79,0.00099,186.16,186.16,10.3125,11.312,9.438,8.812,2.0421
101.19,3.78,0.00099,186.18,186.18,10.3125,11.312,9.438,8.812,2.06932
101.67,3.79,0.00049,186.2,186.2,10.3125,11.312,9.375,8.812,2.09655
101.29,3.78,0.00091,186.22,186.22,10.3125,11.312,9.375,8.812,2.12378
102.66,3.83,0.0008,186.24,186.24,10.3125,11.312,9.375,8.812,2.15101
101.56,3.79,0.00099,186.26,186.26,10.3125,11.312,9.375,8.812,2.17823
102.55,3.83,0.00095,186.28,186.28,10.3125,11.312,9.375,8.812,2.20546
102.93,3.84,-0.00365,186.3,186.3,10.3125,11.312,9.375,8.812,2.23269
102.66,3.83,0.00103,186.32,186.32,10.3125,11.312,9.375,8.812,2.25992
103.17,3.85,0.00095,186.34,186.34,10.3125,11.312,9.375,8.812,2.28714
104.16,3.89,-0.00072,186.36,186.36,10.25,11.312,9.375,8.812,2.31437
104.43,3.9,0.00099,186.38,186.38,10.25,10.875,9.375,8.812,2.3416
104.16,3.89,0.00099,186.4,186.4,10.25,10.875,9.375,8.812,2.36883
105.18,3.93,0.00103,186.42,186.42,10.25,10.875,9.375,8.812,2.39605
105.55,3.94,0.00099,186.44,186.44,10.25,10.875,9.375,8.812,2.42328
105.42,3.94,0.00087,186.46,186.46,10.25,10.875,9.375,8.812,2.45051
105.04,3.92,0.00103,186.48,186.48,10.25,10.875,9.375,8.812,2.47774
106.68,3.98,0.00099,186.5,186.5,10.25,10.875,9.375,8.812,2.50497
105.28,3.93,-0.00338,186.52,186.52,10.25,10.875,9.375,8.812,2.53219
106.54,3.98,0.00099,186.54,186.54,10.25,10.875,9.375,8.812,2.55942
106.68,3.98,0.00099,186.56,186.56,10.25,10.875,9.375,8.812,2.58665
107.54,4.01,-0.00027,186.58,186.58,10.25,10.875,9.375,8.812,2.61388
106.78,3.99,0.00099,186.6,186.6,10.25,10.875,9.375,8.812,2.6411
108.29,4.04,0.00087,186.62,186.62,10.25,11.312,9.375,8.812,2.66833
108.29,4.04,0.00091,186.64,186.64,10.25,11.312,9.375,8.812,2.69556
110.29,4.12,-0.00171,184.66,184.66,10.25,11.312,9.375,9.25,2.88267
110.16,4.11,0.00091,184.68,184.68,10.25,11.312,9.375,9.25,2.9099
111.29,4.15,0.00095,184.7,184.7,10.25,11.312,9.375,9.25,2.93712
111.55,4.16,-0.00148,184.72,184.72,10.25,11.312,9.375,9.25,2.96435
111.66,4.17,0.00095,184.74,184.74,10.25,11.312,9.375,9.25,2.99158
111.66,4.17,0.00087,184.76,184.76,10.25,10.875,9.375,9.25,3.01881
113.05,4.22,0.00091,184.78,184.78,10.25,10.875,9.375,9.25,3.04604
111.66,4.17,0.00095,184.8,184.8,10.25,10.875,9.375,8.812,3.07326
112.92,4.21,0.00091,184.82,184.82,10.25,10.875,9.438,8.812,3.10049
112.92,4.21,0.00087,184.84,184.84,10.25,10.875,9.438,8.812,3.12772
114.42,4.27,0.00087,184.86,184.86,10.25,10.875,9.438,8.812,3.15495
112.54,4.2,-0.00027,184.88,184.88,10.25,10.875,9.438,8.812,3.18217
114.18,4.26,0.00095,184.9,184.9,10.25,10.875,9.438,8.812,3.2094
114.18,4.26,0.00091,184.92,184.92,10.25,10.875,9.438,8.812,3.23663
114.29,4.27,0.00034,184.94,184.94,10.25,10.875,9.438,8.812,3.26386
114.29,4.27,0.00099,184.96,184.96,10.25,10.875,9.438,8.812,3.29108
115.65,4.32,0.00099,184.98,184.98,10.3125,10.875,9.438,8.812,3.31831
115.04,4.29,0.00103,185.0,185.0,10.3125,10.875,9.438,8.812,3.34554
117.05,4.37,0.00095,185.02,185.02,10.3125,10.875,9.438,8.812,3.37277
115.92,4.33,0.0008,185.04,185.04,10.3125,10.875,9.438,8.812,3.4
116.67,4.36,0.00099,185.06,185.06,10.3125,10.875,9.438,8.812,3.42723
116.4,4.34,0.00103,185.08,185.08,10.3125,10.875,9.438,8.812,3.45446
117.29,4.38,-0.00441,185.1,185.1,10.3125,10.875,9.438,8.812,3.48169
116.67,4.36,0.00099,185.12,185.12,10.3125,10.875,9.438,8.812,3.50891
117.42,4.38,0.00103,185.14,185.14,10.3125,10.875,9.438,8.812,3.53614
117.53,4.39,0.00023,185.16,185.16,10.3125,10.875,9.438,8.812,3.56337
118.28,4.42,0.00099,185.18,185.18,10.3125,10.875,9.438,8.812,3.5906
118.79,4.43,0.00106,185.2,185.2,10.3125,10.875,9.438,8.812,3.61782
